Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
1/1,The condition that variable_3 implies variable_2 is greater than variable_5 must have been true since the most recent time in the past when variable_4 and variable_6 equals variable_1 were both true.,(variable_3 → (variable_2 > variable_5)) S (O (variable_4 ∧ (variable_6 = variable_1))),(variable_3 → (variable_2 > variable_5)) S (variable_4 ∧ (variable_6 = variable_1)),True
2/2,The condition that variable_3 implies variable_2 is greater than variable_5 must have been true since the last time variable_1 was equal to variable_6 or since the beginning if variable_1 has never been equal to variable_6.,(variable_3 → (variable_2 > variable_5)) S (O (variable_1 = variable_6)),(variable_3 → (variable_2 > variable_5)) S (variable_1 = variable_6),True
3/3,The condition variable_3 implies variable_2 is greater than or equal to variable_5 has held since once in the past variable_1 was less than variable_6.,(variable_3 → (variable_2 ≥ variable_5)) S (O (variable_1 < variable_6)),(variable_3 → (variable_2 ≥ variable_5)) S O(variable_1 < variable_6),True
4/4,The condition variable_3 implies variable_2 is greater than or equal to variable_5 has held since once in the past variable_1 was less than variable_6.,(variable_3 → (variable_2 ≥ variable_5)) S (O (variable_1 < variable_6)),(variable_3 → (variable_2 ≥ variable_5)) S O (variable_1 < variable_6),True
4/5,The condition variable_3 implies that variable_2 is greater than or equal to variable_5 has held since once in the past variable_1 was less than variable_6.,(variable_3 → (variable_2 ≥ variable_5)) S (O (variable_1 < variable_6)),(variable_3 → (variable_2 ≥ variable_5) S O(variable_1 < variable_6)),False
5/6,The condition variable_3 implies that variable_2 is greater than variable_5 must have been true since the most recent time in the past when variable_1 was equal to variable_6.,(variable_3 → (variable_2 > variable_5)) S (O (variable_1 = variable_6)),(variable_3 → (variable_2 > variable_5)) S (variable_1 = variable_6),True
5/7,In the past it has always been the case that if variable_4 and variable_6 equals variable_1 once held then since that time whenever variable_3 holds it implies that variable_2 is greater than variable_5,(variable_3 → (variable_2 > variable_5)) S (O (variable_4 ∧ (variable_6 = variable_1))),G(((variable_4 ∧ (variable_6 = variable_1)) → ((variable_3 → (variable_2 > variable_5)) S (variable_4 ∧ (variable_6 = variable_1))))),False
6/8,The condition that variable_3 implies variable_2 is greater than variable_5 must have been true since the most recent time in the past when variable_1 was equal to variable_6.,(variable_3 → (variable_2 > variable_5)) S (O (variable_1 = variable_6)),(variable_3 → (variable_2 > variable_5)) S (variable_1 = variable_6),True
6/9,The condition variable_3 implies that variable_2 is greater than or equal to variable_5 has held since once in the past variable_1 was less than variable_6.,(variable_3 → (variable_2 ≥ variable_5)) S (O (variable_1 < variable_6)),(variable_3 → (variable_2 ≥ variable_5) S O(variable_1 < variable_6)),False
7/10,The condition variable_3 implies that variable_2 is greater than variable_5 must have been true since the most recent time in the past when variable_1 was equal to variable_6.,(variable_3 → (variable_2 > variable_5)) S (O (variable_1 = variable_6)),(variable_3 → (variable_2 > variable_5)) S (variable_1 = variable_6),True
