Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
1/1,R1,(G (battery > 0)),G (battery > 0),True
1/1,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
1/1,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
1/1,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
1/1,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
1/1,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
0/1,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
1/1,R2.6,(G (speed <= 10)),speed ≤ 10,False
1/1,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
2/2,R1,(G (battery > 0)),G (battery > 0),True
2/2,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
2/2,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
2/2,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
2/2,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
2/2,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
0/2,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
2/2,R2.6,(G (speed <= 10)),speed ≤ 10,False
2/2,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → (currentPosition = goal)),False
2/3,R1,(G (battery > 0)),G(batteryFull ∨ ¬recharge),False
3/3,R1.1,(G (chargePosition = x)),G(chargePosition = x),True
3/3,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → goal = chargePosition),True
3/3,R2,(G (! Obstacle_currentPosition)),G(¬Obstacle_currentPosition),True
3/3,R2.1,(G (initialPosition = y)),G(initialPosition = y),True
3/3,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
0/3,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
3/3,R2.6,(G (speed <= 10)),speed ≤ 10,False
3/3,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → (currentPosition = goal)),False
3/4,R1,(G (battery > 0)),G(battery > 0),True
4/4,R1.1,(G (chargePosition = x)),G(x = chargePosition),True
4/4,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → goal = chargePosition),True
3/4,R2,(G (! Obstacle_currentPosition)),G(currentPosition ≠ obstacle),False
4/4,R2.1,(G (initialPosition = y)),G(y = initialPosition),True
4/4,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
0/4,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
4/4,R2.6,(G (speed <= 10)),speed ≤ 10,False
4/4,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
3/5,R1,(G (battery > 0)),G (pre_battery > 0),False
5/5,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
5/5,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
4/5,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
5/5,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
5/5,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
0/5,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
5/5,R2.6,(G (speed <= 10)),speed ≤ 10,False
5/5,R3.5,(G (atGoal -> (currentPosition = goal))),atGoal → (currentPosition = goal),False
4/6,R1,(G (battery > 0)),G (battery > 0),True
6/6,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
6/6,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
5/6,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
6/6,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
6/6,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
1/6,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
6/6,R2.6,(G (speed <= 10)),speed ≤ 10,False
6/6,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
5/7,R1,(G (battery > 0)),G (battery > 0),True
7/7,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
7/7,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
6/7,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
7/7,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
7/7,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
2/7,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
7/7,R2.6,(G (speed <= 10)),speed ≤ 10,False
7/7,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
6/8,R1,(G (battery > 0)),G(battery > 0),True
8/8,R1.1,(G (chargePosition = x)),G(x = chargePosition),True
8/8,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → goal = chargePosition),True
7/8,R2,(G (! Obstacle_currentPosition)),G(¬Obstacle_currentPosition),True
8/8,R2.1,(G (initialPosition = y)),G(y = initialPosition),True
8/8,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
2/8,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
8/8,R2.6,(G (speed <= 10)),speed ≤ 10,False
8/8,R3.5,(G (atGoal -> (currentPosition = goal))),atGoal → (currentPosition = goal),False
7/9,R1,(G (battery > 0)),G(battery > 0),True
9/9,R1.1,(G (chargePosition = x)),G(x = chargePosition),True
