Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
0/1,R1,(G (battery > 0)),G (pre_battery > 0),False
1/1,R1.1,(G (chargePosition = x)),G (x = chargePosition),True
1/1,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
1/1,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
1/1,R2.1,(G (initialPosition = y)),G (y = initialPosition),True
1/1,R2.2,(G (currentPosition = currentPhysicalPosition)),(currentPosition = currentPhysicalPosition),False
0/1,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),(start = s0 -> initialPosition = y),False
1/1,R2.6,(G (speed <= 10)),(speed ≤ 10),False
1/1,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal -> currentPosition = goal),False
1/2,R1,(G (battery > 0)),G(battery > 0),True
2/2,R1.1,(G (chargePosition = x)),G(x = chargePosition),True
1/2,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → goal = x),False
2/2,R2,(G (! Obstacle_currentPosition)),G(¬Obstacle_currentPosition),True
2/2,R2.1,(G (initialPosition = y)),G(y = initialPosition),True
2/2,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
1/2,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
2/2,R2.6,(G (speed <= 10)),speed ≤ 10,False
2/2,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
1/3,R1,(G (battery > 0)),G (batteryFull ∨ (pre_battery > 0)),False
3/3,R1.1,(G (chargePosition = x)),G (x = chargePosition),True
1/3,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = x),False
3/3,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
3/3,R2.1,(G (initialPosition = y)),G (y = initialPosition),True
3/3,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
2/3,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
3/3,R2.6,(G (speed <= 10)),speed <= 10,False
3/3,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
2/4,R1,(G (battery > 0)),G (battery > 0),True
4/4,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
2/4,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
4/4,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
4/4,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
4/4,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
2/4,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),O(currentPosition = initialPosition → initialPosition = y),False
4/4,R2.6,(G (speed <= 10)),G(speed ≤ 10),True
4/4,R3.5,(G (atGoal -> (currentPosition = goal))),G(atGoal → currentPosition = goal),True
2/5,R1,(G (battery > 0)),G (pre_battery > 0),False
5/5,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
3/5,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
5/5,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
5/5,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
5/5,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
2/5,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
5/5,R2.6,(G (speed <= 10)),¬(speed > 10),False
5/5,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
2/6,R1,(G (battery > 0)),G (pre_battery > 0),False
6/6,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
4/6,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
5/6,R2,(G (! Obstacle_currentPosition)),G (currentPosition ≠ obstacle),False
6/6,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
6/6,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
3/6,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
6/6,R2.6,(G (speed <= 10)),speed ≤ 10,False
6/6,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
3/7,R1,(G (battery > 0)),G (battery > 0),True
7/7,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
5/7,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
6/7,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
7/7,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
7/7,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
4/7,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
7/7,R2.6,(G (speed <= 10)),G(speed ≤ 10),True
7/7,R3.5,(G (atGoal -> (currentPosition = goal))),G(atGoal → (currentPosition = goal)),True
3/8,R1,(G (battery > 0)),G(batteryFull ∨ ¬recharge),False
8/8,R1.1,(G (chargePosition = x)),G(x = chargePosition),True
6/8,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → goal = chargePosition),True
7/8,R2,(G (! Obstacle_currentPosition)),G(¬Obstacle_currentPosition),True
8/8,R2.1,(G (initialPosition = y)),G(y = initialPosition),True
8/8,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
4/8,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
8/8,R2.6,(G (speed <= 10)),speed ≤ 10,False
8/8,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
4/9,R1,(G (battery > 0)),G (battery > 0),True
9/9,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
7/9,R1.2,(G (recharge -> (goal = chargePosition))),(recharge → goal = chargePosition),False
8/9,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
9/9,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
9/9,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
4/9,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),initialPosition = y,False
9/9,R2.6,(G (speed <= 10)),speed ≤ 10,False
8/9,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → (currentPosition = goal)) S ¬atGoal,False
4/10,R1,(G (battery > 0)),G(batteryFull ∨ recharge ∨ pre_battery > 0),False
10/10,R1.1,(G (chargePosition = x)),G(x = chargePosition),True
8/10,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → goal = chargePosition),True
9/10,R2,(G (! Obstacle_currentPosition)),G(¬Obstacle_currentPosition),True
10/10,R2.1,(G (initialPosition = y)),G(y = initialPosition),True
10/10,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
5/10,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
10/10,R2.6,(G (speed <= 10)),speed ≤ 10,False
9/10,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → currentPosition = goal),False
5/11,R1,(G (battery > 0)),G (battery > 0),True
11/11,R1.1,(G (chargePosition = x)),G (chargePosition = x),True
9/11,R1.2,(G (recharge -> (goal = chargePosition))),G (recharge → goal = chargePosition),True
10/11,R2,(G (! Obstacle_currentPosition)),G (¬Obstacle_currentPosition),True
11/11,R2.1,(G (initialPosition = y)),G (initialPosition = y),True
11/11,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPhysicalPosition = currentPosition,False
6/11,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
11/11,R2.6,(G (speed <= 10)),speed ≤ 10,False
9/11,R3.5,(G (atGoal -> (currentPosition = goal))),(atGoal → (currentPosition = goal))gerð,
5/12,R1,(G (battery > 0)),G(batteryFull ∨ (pre_battery > 0)),False
12/12,R1.1,(G (chargePosition = x)),G(x = chargePosition),True
10/12,R1.2,(G (recharge -> (goal = chargePosition))),G(recharge → (goal = chargePosition)),True
10/12,R2,(G (! Obstacle_currentPosition)),G(currentPosition ≠ obstacle),False
12/12,R2.1,(G (initialPosition = y)),G(y = initialPosition),True
12/12,R2.2,(G (currentPosition = currentPhysicalPosition)),currentPosition = currentPhysicalPosition,False
7/12,R2.2.1,(G ((! (Y TRUE)) -> (start = s0))),start = s0,True
12/12,R2.6,(G (speed <= 10)),speed ≤ 10,False
10/12,R3.5,(G (atGoal -> (currentPosition = goal))),atGoal → (currentPosition = goal),False
